Experiment,Criterion,Rank,SourceCSV,ConfigName,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),NsPerIter,MBps,TotalRuntime(s),CompileTime(s),Status
serde_test,Shortest CompileTime(s),8,d:\MIR_LLVM\mir_-llvm\serde_test\results\Double\ML_260301\experiment_results.csv,EXP_DBL_1562,1,thinlto-funcattrs,UnreachableEnumBranching,626496,,,16.603100,11.951634,Success
serde_test,Shortest CompileTime(s),9,d:\MIR_LLVM\mir_-llvm\serde_test\results\Double\ML_260301\experiment_results.csv,EXP_DBL_1530,3,separate-const-offset-from-gep,UnreachableEnumBranching,626496,,,16.826900,11.978098,Success
serde_test,Shortest CompileTime(s),10,d:\MIR_LLVM\mir_-llvm\serde_test\results\Double\ML_260301\experiment_results.csv,EXP_DBL_1566,1,cgp,UnreachableEnumBranching,627056,,,17.629400,12.000295,Success
tokio,Fastest TotalRuntime(s),1,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_1427,1,preheader-prot,SingleUseConsts,3082240,,,9.051061,25.689136,Success
tokio,Fastest TotalRuntime(s),2,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_0712,3,mergeicmps,GVN,3079168,,,9.052241,24.939305,Success
tokio,Fastest TotalRuntime(s),3,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_1274,1,ifcvt-triangle-false,ReferencePropagation,3079168,,,9.074838,25.803673,Success
tokio,Fastest TotalRuntime(s),4,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_1057,2,last-run-tracking,InstSimplify-before-inline,3082240,,,9.082190,39.402168,Success
tokio,Fastest TotalRuntime(s),5,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_0802,1,type-promotion,ImpossiblePredicates,3082240,,,9.102725,37.520694,Success
tokio,Fastest TotalRuntime(s),6,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_0309,2,global-outlining,DeadStoreElimination-initial,3080192,,,9.105276,50.000360,Success
tokio,Fastest TotalRuntime(s),7,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_0775,1,ifcvt-triangle,ImpossiblePredicates,3082240,,,9.111429,34.761259,Success
tokio,Fastest TotalRuntime(s),8,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_1405,2,mr-partial-inlining,ScalarReplacementOfAggregates,3077120,,,9.116029,25.798394,Success
tokio,Fastest TotalRuntime(s),9,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_1384,2,auto-upgrade-debug-info,ScalarReplacementOfAggregates,3077120,,,9.116385,25.862565,Success
tokio,Fastest TotalRuntime(s),10,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_1435,2,ifcvt-diamond,SingleUseConsts,3082752,,,9.116497,25.652465,Success
tokio,Smallest BinarySize(Bytes),1,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_0847,1,block-placement,Inline,3001344,,,9.427432,39.060826,Success
tokio,Smallest BinarySize(Bytes),2,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_0017,1,block-placement,CopyProp,3014656,,,9.367472,38.823314,Success
tokio,Smallest BinarySize(Bytes),3,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_1345,1,block-placement,ScalarReplacementOfAggregates,3017728,,,11.736376,25.944327,Success
tokio,Smallest BinarySize(Bytes),4,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_0681,1,block-placement,GVN,3019264,,,11.618103,26.320779,Success
tokio,Smallest BinarySize(Bytes),5,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_1262,1,block-placement,ReferencePropagation,3019264,,,9.508939,25.820006,Success
tokio,Smallest BinarySize(Bytes),6,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_0266,1,block-placement,DeadStoreElimination-initial,3020288,,,9.672698,49.545872,Success
tokio,Smallest BinarySize(Bytes),7,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_1511,1,block-placement,UnreachableEnumBranching,3021312,,,9.277383,26.129104,Success
tokio,Smallest BinarySize(Bytes),8,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_ABL_017_disable-block-placement,1,block-placement,N/A,3022336,,,9.337104,32.216350,Success
tokio,Smallest BinarySize(Bytes),9,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_0100,1,block-placement,DataflowConstProp,3022336,,,9.586575,44.121022,Success
tokio,Smallest BinarySize(Bytes),10,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_0432,1,block-placement,EarlyOtherwiseBranch,3022336,,,9.486528,47.060683,Success
tokio,Shortest CompileTime(s),1,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_0672,3,vector-combine,GVN,3079168,,,9.507484,24.773680,Success
tokio,Shortest CompileTime(s),2,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_0720,3,auto-upgrade-debug-info,GVN,3079168,,,9.219814,24.795215,Success
tokio,Shortest CompileTime(s),3,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_0716,2,preinline,GVN,3079168,,,9.156131,24.800253,Success
tokio,Shortest CompileTime(s),4,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_0721,2,bitcode-version-upgrade,GVN,3079168,,,9.392623,24.800276,Success
tokio,Shortest CompileTime(s),5,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_0717,2,select-optimize,GVN,3079168,,,9.684671,24.840190,Success
tokio,Shortest CompileTime(s),6,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_0719,2,type-promotion,GVN,3079168,,,9.503997,24.848822,Success
tokio,Shortest CompileTime(s),7,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_0709,1,machine-cse,GVN,3076096,,,9.471172,24.862197,Success
tokio,Shortest CompileTime(s),8,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_0633,2,preinline,ForceInline,3082240,,,9.427917,24.863921,Success
tokio,Shortest CompileTime(s),9,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_0724,1,global-outlining,GVN,3079168,,,9.345652,24.868822,Success
tokio,Shortest CompileTime(s),10,d:\MIR_LLVM\mir_-llvm\tokio\mir_llvm_hybrid_py\20260315_201152\experiment_results.csv,EXP_DBL_0722,3,cfi-fixup,GVN,3079168,,,9.464501,24.877313,Success
